praia,latitude,longitude,data,hora,altura,hora_decimal,mes,ano,dia_mes,semana_ano,dia_da_semana
barra_norte,0.0,0.0,2025-03-04,12:16,3.55,12.266666666666667,3,2025,4,10,Tuesday
barra_norte,0.0,0.0,2025-03-04,18:12,-0.23,18.2,3,2025,4,10,Tuesday
barra_norte,0.0,0.0,2025-04-04,00:46,2.8,0.7666666666666667,4,2025,4,14,Friday
barra_norte,0.0,0.0,2025-04-04,06:25,0.84,6.416666666666667,4,2025,4,14,Friday
barra_norte,0.0,0.0,2025-04-04,12:36,2.78,12.6,4,2025,4,14,Friday
barra_norte,0.0,0.0,2025-04-04,18:59,0.36,18.983333333333334,4,2025,4,14,Friday
barra_norte,0.0,0.0,2025-05-04,01:01,3.41,1.0166666666666666,5,2025,4,18,Sunday
barra_norte,0.0,0.0,2025-05-04,06:44,0.36,6.733333333333333,5,2025,4,18,Sunday
barra_norte,0.0,0.0,2025-05-04,13:08,3.23,13.133333333333333,5,2025,4,18,Sunday
barra_norte,0.0,0.0,2025-05-04,19:08,-0.01,19.133333333333333,5,2025,4,18,Sunday
barra_norte,0.0,0.0,2025-06-04,01:34,2.6,1.5666666666666667,6,2025,4,23,Wednesday
barra_norte,0.0,0.0,2025-06-04,07:16,1.05,7.266666666666667,6,2025,4,23,Wednesday
barra_norte,0.0,0.0,2025-06-04,13:21,2.61,13.35,6,2025,4,23,Wednesday
barra_norte,0.0,0.0,2025-06-04,19:59,0.58,19.983333333333334,6,2025,4,23,Wednesday
barra_norte,0.0,0.0,2025-07-04,02:01,3.1,2.0166666666666666,7,2025,4,27,Friday
barra_norte,0.0,0.0,2025-07-04,07:46,0.68,7.766666666666667,7,2025,4,27,Friday
barra_norte,0.0,0.0,2025-07-04,14:08,2.94,14.133333333333333,7,2025,4,27,Friday
barra_norte,0.0,0.0,2025-07-04,20:12,0.25,20.2,7,2025,4,27,Friday
barra_norte,0.0,0.0,2025-08-04,02:44,2.47,2.7333333333333334,8,2025,4,32,Monday
barra_norte,0.0,0.0,2025-08-04,08:23,1.24,8.383333333333333,8,2025,4,32,Monday
barra_norte,0.0,0.0,2025-08-04,14:32,2.5,14.533333333333333,8,2025,4,32,Monday
barra_norte,0.0,0.0,2025-08-04,21:10,0.76,21.166666666666668,8,2025,4,32,Monday
barra_norte,0.0,0.0,2025-09-04,03:06,2.87,3.1,9,2025,4,36,Thursday
barra_norte,0.0,0.0,2025-09-04,08:57,0.94,8.95,9,2025,4,36,Thursday
barra_norte,0.0,0.0,2025-09-04,15:14,2.74,15.233333333333333,9,2025,4,36,Thursday
barra_norte,0.0,0.0,2025-09-04,21:29,0.46,21.483333333333334,9,2025,4,36,Thursday
barra_norte,0.0,0.0,2025-10-04,03:59,2.47,3.9833333333333334,10,2025,4,40,Saturday
barra_norte,0.0,0.0,2025-10-04,10:01,1.28,10.016666666666667,10,2025,4,40,Saturday
barra_norte,0.0,0.0,2025-10-04,15:59,2.53,15.983333333333333,10,2025,4,40,Saturday
barra_norte,0.0,0.0,2025-10-04,22:42,0.8,22.7,10,2025,4,40,Saturday
barra_norte,0.0,0.0,2025-11-04,04:17,2.76,4.283333333333333,11,2025,4,45,Tuesday
barra_norte,0.0,0.0,2025-11-04,10:14,1.06,10.233333333333333,11,2025,4,45,Tuesday
barra_norte,0.0,0.0,2025-11-04,16:29,2.68,16.483333333333334,11,2025,4,45,Tuesday
barra_norte,0.0,0.0,2025-11-04,22:57,0.55,22.95,11,2025,4,45,Tuesday
barra_norte,0.0,0.0,2025-12-04,05:02,2.62,5.033333333333333,12,2025,4,49,Thursday
barra_norte,0.0,0.0,2025-12-04,11:17,1.14,11.283333333333333,12,2025,4,49,Thursday
barra_norte,0.0,0.0,2025-12-04,17:10,2.72,17.166666666666668,12,2025,4,49,Thursday
barra_norte,0.0,0.0,2025-12-04,23:49,0.75,23.816666666666666,12,2025,4,49,Thursday
barra_norte,0.0,0.0,2025-01-05,05:34,0.27,5.566666666666666,1,2025,5,1,Sunday
barra_norte,0.0,0.0,2025-01-05,12:01,3.51,12.016666666666667,1,2025,5,1,Sunday
barra_norte,0.0,0.0,2025-01-05,18:01,-0.24,18.016666666666666,1,2025,5,1,Sunday
barra_norte,0.0,0.0,2025-02-05,00:12,2.92,0.2,2,2025,5,6,Wednesday
barra_norte,0.0,0.0,2025-02-05,06:06,0.83,6.1,2,2025,5,6,Wednesday
barra_norte,0.0,0.0,2025-02-05,12:08,2.92,12.133333333333333,2,2025,5,6,Wednesday
barra_norte,0.0,0.0,2025-02-05,18:38,0.28,18.633333333333333,2,2025,5,6,Wednesday
barra_norte,0.0,0.0,2025-03-05,00:42,3.41,0.7,3,2025,5,10,Wednesday
barra_norte,0.0,0.0,2025-03-05,06:23,0.47,6.383333333333334,3,2025,5,10,Wednesday
barra_norte,0.0,0.0,2025-03-05,12:53,3.23,12.883333333333333,3,2025,5,10,Wednesday
barra_norte,0.0,0.0,2025-03-05,18:57,-0.04,18.95,3,2025,5,10,Wednesday
barra_norte,0.0,0.0,2025-04-05,01:06,2.8,1.1,4,2025,5,14,Saturday
barra_norte,0.0,0.0,2025-04-05,07:01,0.95,7.016666666666667,4,2025,5,14,Saturday
barra_norte,0.0,0.0,2025-04-05,13:06,2.78,13.1,4,2025,5,14,Saturday
barra_norte,0.0,0.0,2025-04-05,19:31,0.46,19.516666666666666,4,2025,5,14,Saturday
barra_norte,0.0,0.0,2025-05-05,01:36,3.16,1.6,5,2025,5,19,Monday
barra_norte,0.0,0.0,2025-05-05,07:21,0.71,7.35,5,2025,5,19,Monday
